,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,07 July 2020,08 July 2020,09 July 2020,10 July 2020,11 July 2020,12 July 2020,13 July 2020,14 July 2020,15 July 2020,16 July 2020,17 July 2020,18 July 2020,19 July 2020,20 July 2020,21 July 2020,22 July 2020,23 July 2020,24 July 2020,25 July 2020,26 July 2020,27 July 2020,28 July 2020,29 July 2020,30 July 2020,31 July 2020,01 August 2020,02 August 2020,03 August 2020,04 August 2020,05 August 2020,06 August 2020,07 August 2020,08 August 2020,09 August 2020,10 August 2020,11 August 2020,12 August 2020,13 August 2020,14 August 2020,15 August 2020,16 August 2020,17 August 2020,18 August 2020,19 August 2020,20 August 2020,21 August 2020,22 August 2020,23 August 2020,24 August 2020,25 August 2020,26 August 2020,27 August 2020,28 August 2020,29 August 2020,30 August 2020,31 August 2020
45,45.0,Khulna,Satkhira,829,15022,08/12/2020,,,,,,,392,,32,2,,,11,,,4,,,31,6,8,20,3,2,34,18,4,8,0,0,12,0,0,0,47,0,2,,,,,,,,,,,,,,,,,,,,
46,46.0,Khulna,Jhenaidah,1213,15022,08/12/2020,,,,,,,415,,37,46,,,34,,,19,,,25,39,7,28,0,35,43,38,23,2,2,2,36,23,0,53,0,21,64,,,,,,,,,,,,,,,,,,,,
47,47.0,Khulna,Kushtia,2182,15022,08/12/2020,,2,0,0,0,2,938,0,45,32,1,1,38,1,0,42,2,0,26,27,34,8,58,48,17,40,9,74,7,7,92,56,73,11,69,71,61,,,,,,,,,,,,,,,,,,,,
48,48.0,Khulna,Chuadanga,891,15022,08/12/2020,,,,,,,292,,5,16,,,14,,,46,,,,1,20,7,8,24,29,10,25,0,0,30,71,30,27,0,40,12,23,,,,,,,,,,,,,,,,,,,,
49,49.0,Mymensingh,Mymensingh,2995,5089,01.07.2020,,2089,20,38,37,16,16,48,34,26,24,40,9,49,37,26,10,30,32,11,16,25,28,8,30,11,7,6,7,34,15,49,42,22,45,33,25,,,,,,,,,,,,,,,,,,,,
50,50.0,Mymensingh,Jamalpur,1085,5089,06.07.2020,,661,9,15,17,10,16,12,14,14,14,17,6,19,13,12,5,14,9,5,0,0,0,3,18,13,0,0,12,14,12,12,24,11,16,51,17,,,,,,,,,,,,,,,,,,,,
51,51.0,Mymensingh,Netrokona,656,5089,06.07.2020,,548,1,1,1,3,0,1,0,5,9,17,5,0,9,2,8,0,5,2,1,5,1,2,5,2,5,0,0,3,0,6,0,1,0,2,6,,,,,,,,,,,,,,,,,,,,
52,52.0,Mymensingh,Sherpur,353,5089,06.07.2020,,254,0,6,4,3,0,2,13,3,1,2,1,0,3,0,2,2,1,1,1,0,9,0,4,0,3,0,0,5,1,5,2,2,1,7,15,,,,,,,,,,,,,,,,,,,,
53,53.0,Barishal,Barguna,715,6473,05..07.2020,,345,8,5,10,15,14,6,24,9,7,21,25,20,1,14,17,8,22,12,8,10,8,14,12,16,6,0,2,15,10,0,13,3,14,,1,,,,,,,,,,,,,,,,,,,,
54,54.0,Barishal,Bhola,590,6473,05.07.2020,,357,5,0,14,12,11,0,15,8,0,21,1,12,15,6,0,4,5,1,8,5,4,7,17,4,3,6,4,9,3,7,5,1,9,3,5,3,,,,,,,,,,,,,,,,,,,
